Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
7/29/19,HEALTH FOOD STORE,HEALTH FOOD STORE,5.29,debit,Health & Fitness,Amex,,
7/29/19,Trader Joe's,TRADER JOE&apos;S,47.31,debit,Groceries,Amex,,
7/29/19,NYSC-IRVING PLACE #...3727,NYSC-IRVING PLACE  #...3727,49.95,debit,Gym,Wells Fargo Credit Card,,
7/28/19,Stop & Shop,STOP & SHOP 0492,40.34,debit,Groceries,Chase Credit Card,,
7/28/19,Uber.com,UBER TECHNOLOGIES INC,52.52,debit,Rental Car & Taxi,Chase Credit Card,,
7/27/19,Time Warner,TWC*TIME WARNER NYC 718-358-0900,70.99,debit,Television,Wells Fargo Credit Card,,
7/26/19,Duane Reade,DUANE READE #14265,7.99,debit,Pharmacy,Chase Credit Card,,
7/26/19,MISSION CHINESE - E BROA,MISSION CHINESE - E BROA,66.04,debit,Restaurants,Chase Credit Card,,
7/26/19,Shake Shack,SQ *SHAKE SHACK,13.17,debit,Fast Food,Chase Credit Card,,
7/25/19,SOFAR SOUNDS LLC,SOFAR SOUNDS LLC,50,debit,Alcohol & Bars,Chase Credit Card,,
7/25/19,STREET TACO,STREET TACO,90.21,debit,Restaurants,Chase Credit Card,,
7/25/19,Uber.com,UBER TECHNOLOGIES INC,6.52,debit,Rental Car & Taxi,Chase Credit Card,,
7/25/19,The UPS Store,THE UPS STORE 1492,49.94,debit,Business Services,Chase Credit Card,,
7/23/19,Dunkin Donuts,DD/BR #343886,1.79,debit,Coffee Shops,Chase Credit Card,,
7/23/19,Groupon,GROUPON INC,39,debit,Shopping,Chase Credit Card,,
7/23/19,Payworks Bill,Payworks Inc. BILL PMT,1691.87,credit,Income,Day to Day Checking,,
7/23/19,Internet transfer to Online Savings account,Internet transfer to Online Savings account XXXXXX1686,1691.87,debit,Transfer,Day to Day Checking,,
7/22/19,Trader Joe's,"AplPay TRADER JOE'S #544 QPS 544 - NEW YORK, NY",30.95,debit,Groceries,Amex,,
7/22/19,RENTAL CAR TOLLS,RENTAL CAR TOLLS,45.9,debit,Rental Car & Taxi,Chase Credit Card,,
7/22/19,"H HOUST & SON, INC.","H HOUST & SON, INC.",6.34,debit,Fast Food,Chase Credit Card,,
7/22/19,Goodwill Industries,GOODWILL IND #105 23RD ST,15.21,debit,Shopping,Chase Credit Card,,
